DesignName,ParticipantID,keyboardLayout, browser, mouseType,user_age,user_gender,frequency, comment
"KEY_MULTI_REPEAT","9","AZERTY","touchpad","Mozilla","NaN","NaN","NaN"
"KEY_MULTI_REPEAT","9","NaN","NaN","Firefox","23","woman","6+",""
"KEY_MULTI_REPEAT","20","QWERTY","touchpad","Mozilla","NaN","NaN","NaN"
"KEY_MULTI_REPEAT","20","NaN","NaN","NaN","24","man","3-6","NaN"
"KEY_MULTI_REPEAT","23","AZERTY","classic_mouse","Mozilla","NaN","NaN","NaN"
"KEY_MULTI_REPEAT","23","NaN","NaN","Chrome","23","woman","6+",""
"KEY_MULTI_REPEAT","54","QWERTY","touchpad","NaN","NaN","NaN","NaN","NaN"
"KEY_MULTI_REPEAT","54","NaN","NaN","Safari","39","man","6+","great"
"KEY_MULTI_REPEAT","37","AZERTY","touchpad","Mozilla","NaN","NaN","NaN"
"KEY_MULTI_REPEAT","60","AZERTY","touchpad","Mozilla","NaN","NaN","NaN","NaN"
"KEY_MULTI_REPEAT","60","NaN","NaN","Safari","23","woman","1-3","if the experiment is in French, it will be good. Sinon super expérience ! première fois que j'ai essayé et j'ai trouvé ça marrant"
"KEY_MULTI_REPEAT","50","AZERTY","classic_mouse","Mozilla","NaN","NaN","NaN","NaN"
"KEY_MULTI_REPEAT","50","NaN","NaN","Edge","21","man","6+","Nice experiment, sould update the tuto about the CMD key . As a Windows user i didn't realise instantly that it was the Ctrl key.   "
"KEY_MULTI_REPEAT","55","AZERTY","classic_mouse","Mozilla","NaN","NaN","NaN","NaN"
"KEY_MULTI_REPEAT","55","NaN","NaN","Chrome","24","man","6+","Nothing to report, I had no trouble or bug, it's just very repetitive. I wish you all the best for your project."
"KEY_MULTI_REPEAT","56","AZERTY","touchpad","Mozilla","NaN","NaN","NaN","NaN"
"KEY_MULTI_REPEAT","56","NaN","NaN","Safari","22","man","6+",""
"KEY_MULTI_REPEAT","2","QWERTY","classic_mouse","Mozilla","NaN","NaN","NaN","NaN"
"KEY_MULTI_REPEAT","14","AZERTY","touchpad","Mozilla","NaN","NaN","NaN","NaN"
"KEY_MULTI_REPEAT","14","NaN","NaN","Chrome","21","man","6+",""
"GESTURE_MULTI_REPEAT","11","QWERTY","touchpad","Mozilla","NaN","NaN","NaN", NaN
"GESTURE_MULTI_REPEAT","11","NaN","NaN","NaN","23","non_binary","6+", NaN
"GESTURE_MULTI_REPEAT","61","AZERTY","classic_mouse","Mozilla","NaN","NaN","NaN", NaN
"GESTURE_MULTI_REPEAT","61","NaN","NaN","NaN","21","man","6+", NaN
"GESTURE_MULTI_REPEAT","37","QWERTY","touchpad","Mozilla","NaN","NaN","NaN"
"GESTURE_MULTI_REPEAT","37","NaN","NaN","Firefox","23","woman","1-3","I became less and less concentrated and my fingers are tired.the direction of left down or up right is a little difficult."
"GESTURE_MULTI_REPEAT","13","AZERTY","classic_mouse","Mozilla","NaN","NaN","NaN"
"GESTURE_MULTI_REPEAT","13","NaN","NaN","Chrome","23","woman","6+","fun"
"GESTURE_MULTI_REPEAT","54","QWERTY","touchpad","Mozilla","NaN","NaN","NaN"
"GESTURE_MULTI_REPEAT","54","NaN","NaN","Safari","39","man","6+","Great"
"GESTURE_MULTI_REPEAT","62","AZERTY","touchpad","Mozilla","NaN","NaN","NaN","NaN"
"GESTURE_MULTI_REPEAT","62","NaN","NaN","Safari","22","man","6+",""
"GESTURE_MULTI_REPEAT","57","QWERTY","classic_mouse","Mozilla","NaN","NaN","NaN","NaN"
"GESTURE_MULTI_REPEAT","57","NaN","NaN","Chrome","21","man","6+","Make font/emojis bigger and at the top of the screen to be more readable maybe"
"GESTURE_MULTI_REPEAT","42","AZERTY","classic_mouse","Mozilla","NaN","NaN","NaN","NaN"
"GESTURE_MULTI_REPEAT","42","NaN","NaN","Firefox","23","man","6+",""
"GESTURE_MULTI_REPEAT","60","AZERTY","classic_mouse","Mozilla","NaN","NaN","NaN","NaN"
"GESTURE_MULTI_REPEAT","60","NaN","NaN","Firefox","22","man","3-6",""
"GESTURE_MULTI_REPEAT","31","QWERTY","classic_mouse","Mozilla","NaN","NaN","NaN","NaN"
"GESTURE_MULTI_REPEAT","31","NaN","NaN","Firefox","51","woman","6+","smooth and quick response"
"GESTURE_MULTI_REPEAT","21","AZERTY","classic_mouse","Mozilla","NaN","NaN","NaN","NaN"
"GESTURE_MULTI_REPEAT","21","NaN","NaN","Firefox","20","man","3-6",""
