DesignName,ParticipantID,TrialID,Block1,First,Size,Time
1dir,1,1,1,E,1,2.434
1dir,1,2,2,NW,2,1.661
1dir,1,3,3,NE,1,2.029
1dir,1,4,4,SE,3,1.928
1dir,1,5,5,SW,1,1.497
1dir,1,6,6,W,3,1.266
1dir,1,7,7,SW,2,3.158
1dir,1,8,8,N,1,1.464
1dir,1,9,9,NE,2,1.465
1dir,1,10,10,W,2,1.394
1dir,1,11,11,SE,1,1.505
1dir,1,12,12,S,2,1.816
1dir,1,13,13,W,1,1.767
1dir,1,14,14,SW,3,2.621
1dir,1,15,15,N,2,1.692
1dir,1,16,16,N,3,1.054
1dir,1,17,17,E,3,1.515
1dir,1,18,18,NE,3,1.438
1dir,1,19,19,NW,1,1.737
1dir,1,20,20,S,1,1.215
1dir,1,21,21,NW,3,1.225
1dir,1,22,22,SE,2,1.367
1dir,1,23,23,S,3,3.019
1dir,1,24,24,E,2,1.28
1dir,1,25,25,SW,2,1.282
1dir,1,26,26,E,3,1.402
1dir,1,27,27,W,1,1.499
1dir,1,28,28,NW,3,1.017
1dir,1,29,29,SE,2,1.284
1dir,1,30,30,S,2,1.064
1dir,1,31,31,S,3,0.966
1dir,1,32,32,E,1,1.376
1dir,1,33,33,SW,3,1.283
1dir,1,34,34,SE,1,1.334
1dir,1,35,35,NW,1,1.351
1dir,1,36,36,SW,1,1.159
1dir,1,37,37,W,2,1.093
1dir,1,38,38,E,2,1.133
1dir,1,39,39,NW,2,3.102
1dir,1,40,40,NE,1,1.601
1dir,1,41,41,NE,2,1.531
1dir,1,42,42,N,2,1.325
1dir,1,43,43,N,3,1.448
1dir,1,44,44,SE,3,1.494
1dir,1,45,45,NE,3,1.225
1dir,1,46,46,S,1,1.434
1dir,1,47,47,W,3,1.621
1dir,1,48,48,N,1,1.166
1dir,1,1,1,E,1,1.524
1dir,1,2,2,NW,2,1.12
1dir,1,3,3,NE,1,1.099
1dir,1,4,4,SE,3,0.93
1dir,1,5,5,SW,1,1.263
1dir,1,6,6,W,3,0.903
1dir,1,7,7,SW,2,1.103
1dir,1,8,8,N,1,1.217
1dir,1,9,9,NE,2,1.07
1dir,1,10,10,W,2,0.856
1dir,1,11,11,SE,1,1.063
1dir,1,12,12,S,2,0.931
1dir,1,13,13,W,1,1.2
1dir,1,14,14,SW,3,0.998
1dir,1,15,15,N,2,0.929
1dir,1,16,16,N,3,0.966
1dir,1,17,17,E,3,0.798
1dir,1,18,18,NE,3,0.886
1dir,1,19,19,NW,1,0.917
1dir,1,20,20,S,1,1.096
1dir,1,21,21,NW,3,0.866
1dir,1,22,22,SE,2,1.034
1dir,1,23,23,S,3,0.879
1dir,1,24,24,E,2,1.2
1dir,1,25,25,SW,2,0.948
1dir,1,26,26,E,3,0.72
1dir,1,27,27,W,1,0.949
1dir,1,28,28,NW,3,0.898
1dir,1,29,29,SE,2,0.851
1dir,1,30,30,S,2,0.885
1dir,1,31,31,S,3,1.096
1dir,1,32,32,E,1,0.983
1dir,1,33,33,SW,3,0.866
1dir,1,34,34,SE,1,1.95
1dir,1,35,35,NW,1,1.651
1dir,1,36,36,SW,1,1.154
1dir,1,37,37,W,2,0.832
1dir,1,38,38,E,2,0.937
1dir,1,39,39,NW,2,1.145
1dir,1,40,40,NE,1,1.106
1dir,1,41,41,NE,2,1.086
1dir,1,42,42,N,2,1.034
1dir,1,43,43,N,3,1.017
1dir,1,44,44,SE,3,0.954
1dir,1,45,45,NE,3,1.048
1dir,1,46,46,S,1,1.284
1dir,1,47,47,W,3,0.988
1dir,1,48,48,N,1,1.15
1dir,1,2,2,NW,2,3.136
1dir,1,4,4,SE,,1.701
1dir,1,6,6,W,,1.414
1dir,1,8,8,N,1,0.949
1dir,1,10,10,W,2,1.684
1dir,1,12,12,S,2,2.217
1dir,1,14,14,SW,,3.958
1dir,1,16,16,N,,2.395
1dir,1,18,18,NE,,1.666
1dir,1,20,20,S,1,2.413
1dir,1,22,22,SE,2,1.586
1dir,1,24,24,E,2,1.583
1dir,1,26,26,E,,1.348
1dir,1,28,28,NW,,1.604
1dir,1,30,30,S,2,1.427
1dir,1,32,32,E,1,1.996
1dir,1,34,34,SE,1,4.026
1dir,1,36,36,SW,1,2.052
1dir,1,38,38,E,2,1.587
1dir,1,40,40,NE,1,2.321
1dir,1,42,42,N,2,1.958
1dir,1,44,44,SE,,3.535
1dir,1,46,46,S,1,2.014
1dir,1,48,48,N,1,1.805
1dir,2,49,1,E,2,2.686
1dir,2,50,2,NW,3,1.286
1dir,2,51,3,NE,2,1.455
1dir,2,52,4,SW,1,2.581
1dir,2,53,5,SW,2,2.4
1dir,2,54,6,NE,1,1.993
1dir,2,55,7,SW,3,2.043
1dir,2,56,8,N,2,2.168
1dir,2,57,9,NE,3,1.896
1dir,2,58,10,W,3,1.694
1dir,2,59,11,SE,2,1.787
1dir,2,60,12,S,3,4.725
1dir,2,61,13,W,2,1.903
1dir,2,62,14,N,1,1.766
1dir,2,63,15,N,3,2.217
1dir,2,64,16,S,1,1.78
1dir,2,65,17,W,1,1.985
1dir,2,66,18,NW,1,1.948
1dir,2,67,19,NW,2,3.276
1dir,2,68,20,S,2,3.557
1dir,2,69,21,SE,1,2.201
1dir,2,70,22,SE,3,1.794
1dir,2,71,23,E,1,2.014
1dir,2,72,24,E,3,1.935
1dir,2,73,25,SW,3,1.783
1dir,2,74,26,W,1,1.76
1dir,2,75,27,W,2,1.881
1dir,2,76,28,SE,1,1.73
1dir,2,77,29,SE,3,3.702
1dir,2,78,30,S,3,1.876
1dir,2,79,31,E,1,1.6
1dir,2,80,32,E,2,3.517
1dir,2,81,33,N,1,2.046
1dir,2,82,34,SE,2,1.914
1dir,2,83,35,NW,2,2.297
1dir,2,84,36,SW,2,1.865
1dir,2,85,37,W,3,2.052
1dir,2,86,38,E,3,1.947
1dir,2,87,39,NW,3,1.6
1dir,2,88,40,NE,2,1.863
1dir,2,89,41,NE,3,1.813
1dir,2,90,42,N,3,1.973
1dir,2,91,43,S,1,1.965
1dir,2,92,44,SW,1,2.213
1dir,2,93,45,NW,1,6.158
1dir,2,94,46,S,2,3.479
1dir,2,95,47,NE,1,1.848
1dir,2,96,48,N,2,2.081
